NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	ExecutionTime	NodesExpanded
0	410179656	464837447	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.816254	8
1	410179656	1933366388	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.303800	8
2	410179656	1122020305	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.010495	8
3	410179656	1307441541	66.000000	-62.300000	3.700000	-66.000000	33.500000	14.955359	8
4	410179656	1530099154	66.000000	-62.300000	3.700000	-66.000000	33.500000	16.384716	8
5	410179656	814307087	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.809724	8
6	410179656	2043424913	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.042388	8
7	410179656	2041583866	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.677576	8
8	410179656	664438857	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.322402	8
9	410179656	105636584	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.101873	8
10	410179656	737068349	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.278540	8
11	410179656	861386398	66.000000	-62.300000	3.700000	-66.000000	33.500000	14.850896	8
12	410179656	77538035	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.427663	8
13	410179656	73708492	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.603603	8
14	410179656	1103369712	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.389740	8
15	410179656	1681506191	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.723425	8
16	410179656	1600820250	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.538219	8
17	410179656	1200862873	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.451711	8
18	410179656	540220891	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.545893	8
19	410179656	1283226413	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.828915	8
20	410179656	575005154	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.619872	8
21	410179656	898221123	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.011547	8
22	410179656	804254443	66.000000	-62.300000	3.700000	-66.000000	33.500000	10.685951	8
23	410179656	1413036460	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.319935	8
24	410179656	71511052	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.439533	8
25	410179656	1059980888	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.421352	8
26	410179656	2043804732	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.302625	8
27	410179656	15510453	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.264120	8
28	410179656	1337586733	66.000000	-62.300000	3.700000	-66.000000	33.500000	10.647208	8
29	410179656	477397036	66.000000	-62.300000	3.700000	-66.000000	33.500000	10.696075	8
30	410179656	1262718654	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.406368	8
31	410179656	996335872	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.630409	8
32	410179656	741280	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.466773	8
33	410179656	599966732	66.000000	-62.300000	3.700000	-66.000000	33.500000	13.028510	8
34	410179656	898626117	66.000000	-62.300000	3.700000	-66.000000	33.500000	15.105897	8
35	410179656	183234766	66.000000	-62.300000	3.700000	-66.000000	33.500000	13.659728	8
36	410179656	1354956995	66.000000	-62.300000	3.700000	-66.000000	33.500000	13.036713	8
37	410179656	1098894712	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.116209	8
38	410179656	1853149124	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.879968	8
39	410179656	1464223621	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.869317	8
40	410179656	634025934	66.000000	-62.300000	3.700000	-66.000000	33.500000	13.135757	8
41	410179656	722207808	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.128111	8
42	410179656	536610181	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.800629	8
43	410179656	592158673	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.896639	8
44	410179656	369278087	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.263206	8
45	410179656	855533775	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.099402	8
46	410179656	289596663	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.095135	8
47	410179656	118333466	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.706194	8
48	410179656	1463435055	66.000000	-62.300000	3.700000	-66.000000	33.500000	11.918434	8
49	410179656	589555245	66.000000	-62.300000	3.700000	-66.000000	33.500000	12.055743	8
0	1579791630	670228474	59.000000	-41.000000	18.000000	-59.000000	23.800000	15.008785	7
1	1579791630	1322437860	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.612719	7
2	1579791630	1583844535	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.350033	7
3	1579791630	1155290318	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.765254	7
4	1579791630	181876497	59.000000	-41.000000	18.000000	-59.000000	23.800000	13.250084	7
5	1579791630	1572206128	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.796347	7
6	1579791630	318112735	59.000000	-41.000000	18.000000	-59.000000	23.800000	14.092755	7
7	1579791630	425302050	59.000000	-41.000000	18.000000	-59.000000	23.800000	15.117626	7
8	1579791630	1620640984	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.241208	7
9	1579791630	759491416	59.000000	-41.000000	18.000000	-59.000000	23.800000	13.277096	7
10	1579791630	1704811636	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.689851	7
11	1579791630	358525700	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.575105	7
12	1579791630	1413405521	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.546704	7
13	1579791630	1031027966	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.451255	7
14	1579791630	2106935051	59.000000	-41.000000	18.000000	-59.000000	23.800000	13.697320	7
15	1579791630	1326704482	59.000000	-41.000000	18.000000	-59.000000	23.800000	16.006985	7
16	1579791630	335024072	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.832326	7
17	1579791630	894532053	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.888240	7
18	1579791630	1325064670	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.680711	7
19	1579791630	482795662	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.323873	7
20	1579791630	926030386	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.278149	7
21	1579791630	1333771963	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.696005	7
22	1579791630	1872022543	59.000000	-41.000000	18.000000	-59.000000	23.800000	16.411919	7
23	1579791630	974571361	59.000000	-41.000000	18.000000	-59.000000	23.800000	14.072408	7
24	1579791630	834837581	59.000000	-41.000000	18.000000	-59.000000	23.800000	15.443111	7
25	1579791630	1925001319	59.000000	-41.000000	18.000000	-59.000000	23.800000	14.051708	7
26	1579791630	1414422954	59.000000	-41.000000	18.000000	-59.000000	23.800000	14.775143	7
27	1579791630	131086551	59.000000	-41.000000	18.000000	-59.000000	23.800000	14.505186	7
28	1579791630	320016556	59.000000	-41.000000	18.000000	-59.000000	23.800000	14.474048	7
29	1579791630	128343314	59.000000	-41.000000	18.000000	-59.000000	23.800000	13.298592	7
30	1579791630	405216786	59.000000	-41.000000	18.000000	-59.000000	23.800000	16.783734	7
31	1579791630	905802318	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.943322	7
32	1579791630	1624973941	59.000000	-41.000000	18.000000	-59.000000	23.800000	13.253282	7
33	1579791630	780960949	59.000000	-41.000000	18.000000	-59.000000	23.800000	13.992788	7
34	1579791630	1743988661	59.000000	-41.000000	18.000000	-59.000000	23.800000	13.178473	7
35	1579791630	860876639	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.731725	7
36	1579791630	1637264389	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.710315	7
37	1579791630	500419420	59.000000	-41.000000	18.000000	-59.000000	23.800000	15.091185	7
38	1579791630	1558840044	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.367981	7
39	1579791630	480800344	59.000000	-41.000000	18.000000	-59.000000	23.800000	13.199957	7
40	1579791630	595877609	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.971216	7
41	1579791630	720261516	59.000000	-41.000000	18.000000	-59.000000	23.800000	13.041746	7
42	1579791630	1923116526	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.496629	7
43	1579791630	455237222	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.674863	7
44	1579791630	2040140401	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.695028	7
45	1579791630	1302935158	59.000000	-41.000000	18.000000	-59.000000	23.800000	15.883709	7
46	1579791630	1537893142	59.000000	-41.000000	18.000000	-59.000000	23.800000	13.151101	7
47	1579791630	648524959	59.000000	-41.000000	18.000000	-59.000000	23.800000	14.248234	7
48	1579791630	142326569	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.729381	7
49	1579791630	1327529985	59.000000	-41.000000	18.000000	-59.000000	23.800000	12.227555	7
0	133477094	1536462805	69.000000	-73.500000	-4.500000	-69.000000	36.100000	18.831730	9
1	133477094	1979408901	69.000000	-73.500000	-4.500000	-69.000000	36.100000	18.369500	9
2	133477094	985375706	69.000000	-73.500000	-4.500000	-69.000000	36.100000	20.120409	9
3	133477094	238451532	69.000000	-73.500000	-4.500000	-69.000000	36.100000	18.896192	9
4	133477094	531510550	69.000000	-73.500000	-4.500000	-69.000000	36.100000	18.664398	9
5	133477094	2084686754	69.000000	-73.500000	-4.500000	-69.000000	36.100000	18.220489	9
6	133477094	1894260795	69.000000	-73.500000	-4.500000	-69.000000	36.100000	19.327566	9
