NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	ExecutionTime	NodesExpanded
0	410179656	2053268836	78.000000	-27.900000	50.100000	-78.000000	19.100000	25.964132	6
1	410179656	799088081	78.000000	-27.900000	50.100000	-78.000000	19.100000	28.325212	6
2	410179656	1059872195	78.000000	-27.900000	50.100000	-78.000000	19.100000	27.601744	6
3	410179656	1319046157	78.000000	-27.900000	50.100000	-78.000000	19.100000	20.356411	6
4	410179656	1726069351	78.000000	-27.900000	50.100000	-78.000000	19.100000	22.322618	6
5	410179656	717139450	78.000000	-27.900000	50.100000	-78.000000	19.100000	19.245165	6
6	410179656	400960490	78.000000	-27.900000	50.100000	-78.000000	19.100000	19.947099	6
7	410179656	2056509036	78.000000	-27.900000	50.100000	-78.000000	19.100000	20.378999	6
8	410179656	291028520	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.990825	6
9	410179656	1978957322	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.760487	6
10	410179656	942434212	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.983572	6
11	410179656	2087510339	78.000000	-27.900000	50.100000	-78.000000	19.100000	25.970559	6
12	410179656	1840988730	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.211845	6
13	410179656	93233162	78.000000	-27.900000	50.100000	-78.000000	19.100000	17.715052	6
14	410179656	2066957144	78.000000	-27.900000	50.100000	-78.000000	19.100000	21.558421	6
15	410179656	965101517	78.000000	-27.900000	50.100000	-78.000000	19.100000	23.145780	6
16	410179656	1041166808	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.052981	6
17	410179656	191844731	78.000000	-27.900000	50.100000	-78.000000	19.100000	17.926010	6
18	410179656	943337557	78.000000	-27.900000	50.100000	-78.000000	19.100000	17.749486	6
19	410179656	169164614	78.000000	-27.900000	50.100000	-78.000000	19.100000	20.481780	6
20	410179656	841668435	78.000000	-27.900000	50.100000	-78.000000	19.100000	17.654836	6
21	410179656	1875976830	78.000000	-27.900000	50.100000	-78.000000	19.100000	23.669123	6
22	410179656	397834596	78.000000	-27.900000	50.100000	-78.000000	19.100000	26.458270	6
23	410179656	1235055307	78.000000	-27.900000	50.100000	-78.000000	19.100000	36.472042	6
24	410179656	1969900046	78.000000	-27.900000	50.100000	-78.000000	19.100000	27.217905	6
25	410179656	1693369605	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.424979	6
26	410179656	1765786451	78.000000	-27.900000	50.100000	-78.000000	19.100000	19.620903	6
27	410179656	1241417128	78.000000	-27.900000	50.100000	-78.000000	19.100000	24.843625	6
28	410179656	509100646	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.417550	6
29	410179656	1570604340	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.877727	6
30	410179656	160658945	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.386100	6
31	410179656	1157021531	78.000000	-27.900000	50.100000	-78.000000	19.100000	19.152950	6
32	410179656	267917394	78.000000	-27.900000	50.100000	-78.000000	19.100000	21.873517	6
33	410179656	1132947122	78.000000	-27.900000	50.100000	-78.000000	19.100000	19.544798	6
34	410179656	497290853	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.862653	6
35	410179656	647487085	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.545678	6
36	410179656	1274062779	78.000000	-27.900000	50.100000	-78.000000	19.100000	21.904284	6
37	410179656	1381100925	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.975834	6
38	410179656	826889923	78.000000	-27.900000	50.100000	-78.000000	19.100000	19.493672	6
39	410179656	2110460888	78.000000	-27.900000	50.100000	-78.000000	19.100000	19.642898	6
40	410179656	2021580249	78.000000	-27.900000	50.100000	-78.000000	19.100000	19.007748	6
41	410179656	2040433778	78.000000	-27.900000	50.100000	-78.000000	19.100000	31.650235	6
42	410179656	633768149	78.000000	-27.900000	50.100000	-78.000000	19.100000	36.528878	6
43	410179656	111224361	78.000000	-27.900000	50.100000	-78.000000	19.100000	20.820258	6
44	410179656	1957998316	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.571458	6
45	410179656	410107081	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.583198	6
46	410179656	1308317298	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.378150	6
47	410179656	483114293	78.000000	-27.900000	50.100000	-78.000000	19.100000	20.595639	6
48	410179656	1093235513	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.287389	6
49	410179656	1227734342	78.000000	-27.900000	50.100000	-78.000000	19.100000	18.857994	6
0	1579791630	906893396	97.000000	-37.800000	59.200000	-97.000000	16.700000	23.619652	6
1	1579791630	341701298	97.000000	-37.800000	59.200000	-97.000000	16.700000	21.120790	6
2	1579791630	1381700694	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.784887	6
3	1579791630	1381434883	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.650089	6
4	1579791630	1141925316	97.000000	-37.800000	59.200000	-97.000000	16.700000	19.960337	6
5	1579791630	888364070	97.000000	-37.800000	59.200000	-97.000000	16.700000	22.202784	6
6	1579791630	132321312	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.286979	6
7	1579791630	178032884	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.006384	6
8	1579791630	1737219207	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.370831	6
9	1579791630	453160670	97.000000	-37.800000	59.200000	-97.000000	16.700000	19.876639	6
10	1579791630	106267464	97.000000	-37.800000	59.200000	-97.000000	16.700000	21.838131	6
11	1579791630	784518606	97.000000	-37.800000	59.200000	-97.000000	16.700000	19.948383	6
12	1579791630	1617450854	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.446164	6
13	1579791630	165840350	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.876985	6
14	1579791630	262471178	97.000000	-37.800000	59.200000	-97.000000	16.700000	21.018677	6
15	1579791630	1081462468	97.000000	-37.800000	59.200000	-97.000000	16.700000	21.823963	6
16	1579791630	1345215886	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.272656	6
17	1579791630	2118420670	97.000000	-37.800000	59.200000	-97.000000	16.700000	21.519001	6
18	1579791630	140217510	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.602467	6
19	1579791630	2000005	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.274851	6
20	1579791630	508374131	97.000000	-37.800000	59.200000	-97.000000	16.700000	22.244451	6
21	1579791630	1130400148	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.500227	6
22	1579791630	1299068696	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.750038	6
23	1579791630	463105902	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.835539	6
24	1579791630	1180625956	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.328203	6
25	1579791630	1861093668	97.000000	-37.800000	59.200000	-97.000000	16.700000	22.581878	6
26	1579791630	1154033605	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.327808	6
27	1579791630	692074654	97.000000	-37.800000	59.200000	-97.000000	16.700000	19.971545	6
28	1579791630	1929906716	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.771124	6
29	1579791630	1481712987	97.000000	-37.800000	59.200000	-97.000000	16.700000	21.142225	6
30	1579791630	2013363169	97.000000	-37.800000	59.200000	-97.000000	16.700000	21.509995	6
31	1579791630	1155937010	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.790703	6
32	1579791630	514767861	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.407364	6
33	1579791630	1728048364	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.355869	6
34	1579791630	691648889	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.549079	6
35	1579791630	1178584388	97.000000	-37.800000	59.200000	-97.000000	16.700000	23.288832	6
36	1579791630	2112334807	97.000000	-37.800000	59.200000	-97.000000	16.700000	21.065764	6
37	1579791630	801447528	97.000000	-37.800000	59.200000	-97.000000	16.700000	20.615938	6
38	1579791630	1726344873	97.000000	-37.800000	59.200000	-97.000000	16.700000	21.059439	6
