NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	ExecutionTime	NodesExpanded
0	410179656	1967270334	55.000000	-41.100000	13.900000	-55.000000	30.600000	23.211648	7
1	410179656	1498165132	59.000000	-96.700000	-37.700000	-59.000000	75.200000	37.885155	10
2	410179656	1793950344	63.000000	-48.600000	14.400000	-63.000000	38.500000	39.260291	12
3	410179656	1670554277	46.000000	-59.900000	-13.900000	-46.000000	37.800000	31.356170	11
4	410179656	444846976	69.000000	-73.900000	-4.900000	-69.000000	38.600000	41.376055	10
5	410179656	778813111	28.000000	-58.600000	-30.600000	-28.000000	54.000000	23.901089	7
6	410179656	159611515	68.000000	-24.500000	43.500000	-68.000000	16.400000	32.181731	8
7	410179656	1248167354	68.000000	-90.600000	-22.600000	-68.000000	51.700000	48.301595	11
8	410179656	2103835117	76.000000	-50.600000	25.400000	-76.000000	31.800000	35.977446	8
9	410179656	1889118722	34.000000	-80.500000	-46.500000	-34.000000	61.400000	21.298801	6
10	410179656	139185295	58.000000	-118.400000	-60.400000	-58.000000	70.800000	28.812417	6
11	410179656	19533595	47.000000	-63.700000	-16.700000	-47.000000	49.100000	37.647483	10
12	410179656	852997601	50.000000	-53.100000	-3.100000	-50.000000	35.400000	32.657090	9
13	410179656	1897926836	62.000000	-48.800000	13.200000	-62.000000	35.200000	39.348649	11
14	410179656	760204271	47.000000	-67.800000	-20.800000	-47.000000	46.600000	47.778810	12
15	410179656	1225808859	49.000000	-46.100000	2.900000	-49.000000	38.500000	36.414914	11
16	410179656	1258557491	42.000000	-40.200000	1.800000	-42.000000	36.200000	16.812758	5
17	410179656	1844953411	51.000000	-82.900000	-31.900000	-51.000000	47.900000	35.714363	8
18	410179656	618534583	61.000000	-66.100000	-5.100000	-61.000000	50.500000	34.107535	7
19	410179656	1885474152	73.000000	-47.300000	25.700000	-73.000000	27.100000	59.606267	14
20	410179656	1887097207	64.000000	-28.800000	35.200000	-64.000000	25.200000	36.384847	9
21	410179656	1773309419	55.000000	-55.200000	-0.200000	-55.000000	33.400000	26.232485	7
22	410179656	1877424977	75.000000	-25.600000	49.400000	-75.000000	17.000000	42.753281	9
23	410179656	754356497	66.000000	-38.000000	28.000000	-66.000000	22.200000	36.515577	8
24	410179656	1152007381	42.000000	-89.000000	-47.000000	-42.000000	63.200000	28.034988	6
25	410179656	1386530507	51.000000	-118.900000	-67.900000	-51.000000	65.400000	37.350390	9
26	410179656	1255261534	46.000000	-80.300000	-34.300000	-46.000000	60.000000	22.567007	6
27	410179656	162598680	53.000000	-83.300000	-30.300000	-53.000000	53.000000	25.753823	7
28	410179656	1809756202	70.000000	-33.100000	36.900000	-70.000000	23.700000	50.372988	12
29	410179656	1661656599	72.000000	-52.700000	19.300000	-72.000000	41.900000	33.146650	8
30	410179656	1296741192	43.000000	-46.300000	-3.300000	-43.000000	46.300000	31.853079	12
31	410179656	261423603	64.000000	-96.800000	-32.800000	-64.000000	53.100000	39.192716	9
32	410179656	1822240196	67.000000	-78.000000	-11.000000	-67.000000	52.000000	34.926018	8
33	410179656	1049113199	61.000000	-82.400000	-21.400000	-61.000000	41.900000	38.557265	8
34	410179656	792155092	51.000000	-61.500000	-10.500000	-51.000000	50.000000	36.870515	11
35	410179656	2006873565	47.000000	-39.300000	7.700000	-47.000000	27.800000	29.851614	9
36	410179656	1271778787	69.000000	-35.300000	33.700000	-69.000000	23.600000	35.583305	7
37	410179656	536609603	67.000000	-70.200000	-3.200000	-67.000000	38.000000	47.224869	10
38	410179656	512592484	67.000000	-68.000000	-1.000000	-67.000000	48.600000	32.312515	8
39	410179656	1261105063	63.000000	-106.700000	-43.700000	-63.000000	68.000000	38.586124	9
