NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	ExecutionTime	NodesExpanded
0	410179656	1098110846	39.000000	-42.100000	-3.100000	-39.000000	30.800000	12.164406	7
1	410179656	2024743620	74.000000	-41.700000	32.300000	-74.000000	30.300000	19.212803	10
2	410179656	1410568671	49.000000	-62.200000	-13.200000	-49.000000	33.600000	11.963766	8
3	410179656	861785539	51.000000	-41.800000	9.200000	-51.000000	34.600000	13.325739	9
4	410179656	299330568	56.000000	-49.800000	6.200000	-56.000000	29.800000	9.502120	6
5	410179656	803677589	61.000000	-50.000000	11.000000	-61.000000	33.200000	21.195186	9
6	410179656	1376913905	67.000000	-47.200000	19.800000	-67.000000	33.600000	22.648588	10
7	410179656	454851364	57.000000	-25.100000	31.900000	-57.000000	22.200000	10.389060	5
8	410179656	1937886346	62.000000	-38.100000	23.900000	-62.000000	27.900000	13.556592	7
9	410179656	549085258	54.000000	-47.000000	7.000000	-54.000000	35.300000	15.723132	9
10	410179656	1067534530	68.000000	-39.600000	28.400000	-68.000000	24.800000	15.930217	10
11	410179656	1439899246	66.000000	-11.600000	54.400000	-66.000000	7.300000	13.365261	7
12	410179656	952212176	33.000000	-42.600000	-9.600000	-33.000000	42.600000	9.705723	8
13	410179656	781747282	60.000000	-47.100000	12.900000	-60.000000	28.200000	23.139440	10
14	410179656	126660035	72.000000	-39.000000	33.000000	-72.000000	23.200000	19.376720	11
15	410179656	23179259	54.000000	-29.700000	24.300000	-54.000000	22.900000	17.029582	10
16	410179656	706033054	46.000000	-41.900000	4.100000	-46.000000	30.400000	13.073878	9
17	410179656	1370104755	76.000000	-41.800000	34.200000	-76.000000	25.900000	16.053960	8
18	410179656	553365228	59.000000	-48.700000	10.300000	-59.000000	33.900000	14.462879	8
19	410179656	1074924385	63.000000	-46.300000	16.700000	-63.000000	32.800000	18.638649	8
20	410179656	1376478834	50.000000	-47.800000	2.200000	-50.000000	34.500000	10.889037	7
21	410179656	1958494351	48.000000	-52.000000	-4.000000	-48.000000	38.700000	13.783543	10
22	410179656	11016804	69.000000	-29.600000	39.400000	-69.000000	20.800000	17.041163	8
23	410179656	1046819675	64.000000	-26.700000	37.300000	-64.000000	21.700000	13.821867	6
24	410179656	454325862	66.000000	-58.900000	7.100000	-66.000000	38.900000	18.425343	11
25	410179656	1389790398	46.000000	-34.300000	11.700000	-46.000000	28.200000	12.831775	8
26	410179656	295911300	51.000000	-37.800000	13.200000	-51.000000	27.000000	15.549787	10
27	410179656	1737341933	69.000000	-37.700000	31.300000	-69.000000	28.400000	15.647643	8
