NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	ExecutionTime	NodesExpanded
0	410179656	1002933508	78.000000	-27.900000	50.100000	-78.000000	19.100000	279.473489	7
1	410179656	1924564700	75.000000	-33.700000	41.300000	-75.000000	24.900000	87.306846	7
2	410179656	247277003	69.000000	-32.600000	36.400000	-69.000000	23.800000	92.451791	8
3	410179656	1660355029	78.000000	-48.000000	30.000000	-78.000000	32.100000	67.606698	6
4	410179656	1080830739	43.000000	-54.500000	-11.500000	-43.000000	52.300000	25.165411	6
5	410179656	2004440910	65.000000	-32.000000	33.000000	-65.000000	27.200000	68.596771	8
6	410179656	1887404915	64.000000	-36.900000	27.100000	-64.000000	25.400000	44.515762	10
7	410179656	90761144	67.000000	-44.700000	22.300000	-67.000000	30.900000	30.852374	6
8	410179656	458046733	68.000000	-44.900000	23.100000	-68.000000	33.600000	42.819973	6
9	410179656	1527656575	69.000000	-49.700000	19.300000	-69.000000	31.600000	44.058761	6
10	410179656	1778097928	66.000000	-35.800000	30.200000	-66.000000	29.100000	39.485736	7
11	410179656	728447485	68.000000	-24.000000	44.000000	-68.000000	20.100000	34.768050	8
12	410179656	28323152	56.000000	-39.600000	16.400000	-56.000000	32.200000	38.346353	9
13	410179656	1416704094	59.000000	-62.900000	-3.900000	-59.000000	42.000000	32.648712	8
14	410179656	860896020	74.000000	-28.500000	45.500000	-74.000000	19.700000	50.847245	9
15	410179656	208754097	76.000000	-27.900000	48.100000	-76.000000	19.100000	48.059011	6
16	410179656	1341801582	52.000000	-84.300000	-32.300000	-52.000000	55.100000	38.438121	10
17	410179656	858002077	57.000000	-33.800000	23.200000	-57.000000	27.100000	33.557556	6
18	410179656	794356224	70.000000	-83.100000	-13.100000	-70.000000	43.000000	49.870190	9
19	410179656	826511769	58.000000	-28.000000	30.000000	-58.000000	23.700000	33.953322	8
20	410179656	1877215108	58.000000	-60.900000	-2.900000	-58.000000	42.000000	38.567685	8
21	410179656	1139011732	63.000000	-49.100000	13.900000	-63.000000	30.600000	33.737832	7
22	410179656	196214937	54.000000	-66.600000	-12.600000	-54.000000	49.100000	31.179281	9
23	410179656	889827269	70.000000	-47.000000	23.000000	-70.000000	29.400000	40.319050	8
24	410179656	641924284	65.000000	-32.000000	33.000000	-65.000000	27.200000	48.934702	8
25	410179656	304064762	49.000000	-61.800000	-12.800000	-49.000000	44.600000	33.075975	9
26	410179656	1917939097	57.000000	-70.200000	-13.200000	-57.000000	43.800000	26.734819	7
27	410179656	225999433	74.000000	-104.400000	-30.400000	-74.000000	61.300000	57.639170	9
28	410179656	768530499	58.000000	-66.000000	-8.000000	-58.000000	41.900000	40.897442	10
