NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	NumFurgos	ExecutionTime	NodesExpanded
0	1100421137	49239646	57,000000	-18,900000	38,100000	-50038,100000	12,400000	5	4520,734000	50001
0	1100421137	49239646	73,000000	-27,800000	45,200000	-50045,200000	20,000000	10	5889,325800	50001
0	1100421137	49239646	74,000000	-30,900000	43,100000	-50043,100000	24,400000	15	6358,636900	50001
0	1100421137	49239646	66,000000	-37,900000	28,100000	-50028,100000	31,800000	20	6911,895700	50001
0	1100421137	49239646	57,000000	-57,000000	0,000000	-50000,000000	55,000000	25	8671,562700	50001
0	1100421137	349358800	58,000000	-19,100000	38,900000	-50038,900000	12,600000	5	5101,053900	50001
0	1100421137	349358800	79,000000	-27,600000	51,400000	-50051,400000	19,200000	10	4784,629800	50001
0	1100421137	349358800	57,000000	-25,400000	31,600000	-50031,600000	21,900000	15	5579,279000	50001
0	1100421137	349358800	69,000000	-34,600000	34,400000	-50034,400000	28,400000	20	6507,332300	50001
0	1100421137	349358800	60,000000	-50,300000	9,700000	-50009,700000	48,000000	25	8131,406300	50001
0	1100421137	127414371	61,000000	-21,500000	39,500000	-50039,500000	12,800000	5	3126,336300	50001
0	1100421137	127414371	71,000000	-27,200000	43,800000	-50043,800000	18,800000	10	4700,985400	50001
0	1100421137	127414371	70,000000	-29,900000	40,100000	-50040,100000	22,800000	15	6025,458900	50001
0	1100421137	127414371	56,000000	-37,600000	18,400000	-50018,400000	27,500000	20	7051,111100	50001
0	1100421137	127414371	61,000000	-60,700000	0,300000	-50000,300000	59,700000	25	8094,055500	50001
0	1100421137	1239337536	60,000000	-20,100000	39,900000	-50039,900000	11,600000	5	3149,813500	50001
0	1100421137	1239337536	83,000000	-28,800000	54,200000	-50054,200000	19,700000	10	5053,629300	50001
0	1100421137	1239337536	75,000000	-32,900000	42,100000	-50042,100000	24,000000	15	5797,529000	50001
0	1100421137	1239337536	67,000000	-39,300000	27,700000	-50027,700000	31,900000	20	6881,443400	50001
0	1100421137	1239337536	43,000000	-51,400000	-8,400000	-49991,600000	52,000000	25	5793,862600	50001
0	1100421137	2070770048	61,000000	-18,100000	42,900000	-50042,900000	11,600000	5	2952,668100	50001
0	1100421137	2070770048	63,000000	-22,900000	40,100000	-50040,100000	18,600000	10	4492,444000	50001
0	1100421137	2070770048	66,000000	-28,000000	38,000000	-50038,000000	22,500000	15	6059,952000	50001
0	1100421137	2070770048	54,000000	-29,300000	24,700000	-50024,700000	28,100000	20	6223,764100	50001
0	1100421137	2070770048	57,000000	-41,900000	15,100000	-50015,100000	56,400000	25	7104,433000	50001
0	2032649747	891399646	62,000000	-13,900000	48,100000	-50048,100000	11,000000	5	3291,585000	50001
0	2032649747	891399646	89,000000	-33,100000	55,900000	-50055,900000	28,400000	10	4898,741500	50001
0	2032649747	891399646	106,000000	-54,800000	51,200000	-50051,200000	39,900000	15	6541,558000	50001
0	2032649747	891399646	105,000000	-65,000000	40,000000	-50040,000000	52,200000	20	7668,887000	50001
0	2032649747	891399646	93,000000	-56,900000	36,100000	-50036,100000	54,300000	25	7400,258300	50001
0	2032649747	1114191019	69,000000	-16,900000	52,100000	-50052,100000	13,400000	5	3249,989500	50001
0	2032649747	1114191019	91,000000	-33,600000	57,400000	-50057,400000	32,200000	10	4949,312800	50001
0	2032649747	1114191019	78,000000	-37,900000	40,100000	-50040,100000	31,800000	15	6212,939300	50001
0	2032649747	1114191019	91,000000	-47,600000	43,400000	-50043,400000	43,100000	20	7126,636800	50001
